NIRF Ranking,College Name,Location,Pincode,Link,Image URL,Course,Cutoff Range,CGPI
8,National Institute of Technology Tiruchirappalli,Tiruchirappalli,620015,www.nitt.edu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/NITT_logo.png/640px-NITT_logo.png,B.Arch,90-95%,-
8,National Institute of Technology Tiruchirappalli,Tiruchirappalli,620015,www.nitt.edu,,M.Arch,-,7.5
8,National Institute of Technology Tiruchirappalli,Tiruchirappalli,620015,www.nitt.edu,,Ph.D. in Architecture,-,8
8,National Institute of Technology Tiruchirappalli,Tiruchirappalli,620015,www.nitt.edu,,M.U.D. (Urban Design),-,7.5
8,National Institute of Technology Tiruchirappalli,Tiruchirappalli,620015,www.nitt.edu,,Landscape Architecture,-,7.5
,"PMIST, Thanjavur",Thanjavur,613403,https://www.pmu.edu/,https://upload.wikimedia.org/wikipedia/en/1/14/Periyar_Maniammai_Institute_of_Science_%26_Technology_logo.png,B.Arch,85-90%,-
,"PMIST, Thanjavur",Thanjavur,613403,https://www.pmu.edu/,,M.Arch,-,7
,"PMIST, Thanjavur",Thanjavur,613403,https://www.pmu.edu/,,Ph.D. in Architecture,-,8
,"PMIST, Thanjavur",Thanjavur,613403,https://www.pmu.edu/,,Urban Design,-,7
25,"SAP, Chennai",Chennai,600086,https://www.annauniv.edu/sap/,https://www.annauniv.edu/sap/annauniversitylogo.png,B.Arch,80-85%,-
25,"SAP, Chennai",Chennai,600086,https://www.annauniv.edu/sap/,,M.Arch,-,7
25,"SAP, Chennai",Chennai,600086,https://www.annauniv.edu/sap/,,Ph.D. in Architecture,-,8
25,"SAP, Chennai",Chennai,600086,https://www.annauniv.edu/sap/,,Urban Design,-,7
,"Rathinam School of Architecture, Coimbatore",Coimbatore,641021,www.rathinamcollege.edu.in,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFqPQeqiJ3l50m13CjZ7xmm7QUSXvYYmlI9A&s,B.Arch,75-80%,-
,"Rathinam School of Architecture, Coimbatore",Coimbatore,641021,www.rathinamcollege.edu.in,,M.Arch,-,6.5
,"Rathinam School of Architecture, Coimbatore",Coimbatore,641021,www.rathinamcollege.edu.in,,Diploma in Architecture,60-65%,-
,"Rajalakshmi School of Architecture, Chennai",Chennai,600100,www.rajalakshmi.edu.in,,B.Arch,80-85%,-
,"Rajalakshmi School of Architecture, Chennai",Chennai,600100,www.rajalakshmi.edu.in,,M.Arch,-,7
,"Rajalakshmi School of Architecture, Chennai",Chennai,600100,www.rajalakshmi.edu.in,,Ph.D. in Architecture,-,8
,"RVS School of Architecture, Coimbatore",Coimbatore,641402,www.rvscas.ac.in,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2VjaO_LExlV_hNXJajT_9XnzgV4V_L3QK9w&s,B.Arch,70-75%,-
,"RVS School of Architecture, Coimbatore",Coimbatore,641402,www.rvscas.ac.in,,M.Arch,-,6.5
,"Mcgan’s Ooty School of Architecture, Ooty",Ooty,643001,https://www.mcgansarch.com/,https://career.webindia123.com/career/institutes/aspupload/Uploads/all-states/20555/logo.jpg,B.Arch,75-80%,-
,"Mcgan’s Ooty School of Architecture, Ooty",Ooty,643001,https://www.mcgansarch.com/,,M.Arch,-,6.5
,"Mcgan’s Ooty School of Architecture, Ooty",Ooty,643001,https://www.mcgansarch.com/,,Diploma in Architecture,60-65%,-
,"MEASI Academy of Architecture, Chennai",Chennai,600004,https://measiarch.in/,https://dial4college.blr1.cdn.digitaloceanspaces.com/pro/907/logo/1698725521.jpg,B.Arch,85-90%,-
