College Name,Location,Pincode,Courses Available,College URL,Image URL,Cutoff,CGPI
Adhiparasakthi Dental College & Hospital,Melmaruvathur,603319,BDS,apdch.in,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlNAk3HePvuQAKO892oBgG_7co5ZPmj3tV-A&s,85%,
Adhiparasakthi Dental College & Hospital,Melmaruvathur,603319,MDS,apdch.in,,,7.5
ASAN Memorial Dental College & Hospital,Kanchipuram,631561,BDS,edufever.com,https://images.shiksha.com/mediadata/images/1600426517phpycajgw.jpeg,80%,
ASAN Memorial Dental College & Hospital,Kanchipuram,631561,MDS,edufever.com,,,7.2
Best Dental Science College,Madurai,625018,BDS,bdsc.ac.in,https://images.shiksha.com/mediadata/images/1597911855phpljne6m.jpeg,75%,
Best Dental Science College,Madurai,625018,MDS,bdsc.ac.in,,,7
Chettinad Dental College & Research Institute,Kancheepuram,603303,BDS,chettinaddental.edu.in,https://chettinaddental.edu.in/images/logo1.jfif,78%,
Chettinad Dental College & Research Institute,Kancheepuram,603303,MDS,chettinaddental.edu.in,,,7.4
CSI College Of Dental Sciences And Research,Madurai,625002,BDS,csidentalcollege.edu.in/csi,https://tabindia.org/UG/images/1645012258.jpg,77%,
CSI College Of Dental Sciences And Research,Madurai,625002,MDS,csidentalcollege.edu.in/csi,,,7.1
Dhanalakshmi Srinivasan Dental College,Perambalur,621212,BDS,dsdentalcollege.org,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOrD54kdmCikCLrmx09BInG9gqt3jV3QDUwQ&s,80%,
Dhanalakshmi Srinivasan Dental College,Perambalur,621212,MDS,dsdentalcollege.org,,,7.3
JKK Nattraja Dental College,Kumarapalayam,638183,BDS,dental.jkkn.ac.in,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbB7OcKocKCUKIpOyrbOdF6fo3Qk7Q4BIlHg&s,76%,
JKK Nattraja Dental College,Kumarapalayam,638183,MDS,dental.jkkn.ac.in,,,7.2
