College Name,Location,Pincode,College URL,Image URL,Course,Cutoff
"Chennai Dr. Ambedkar Government Law College, Pattarai Perambudur, Thiruvallur Taluk & District",Thiruvallur,631203,glccbe.ac.in,https://dial4college.blr1.cdn.digitaloceanspaces.com/pro/771/logo/1697788684.jpg,BA LLB,70% - 85%
"Chennai Dr. Ambedkar Government Law College, Pattarai Perambudur, Thiruvallur Taluk & District",Thiruvallur,631203,glccbe.ac.in,,LLB,70% - 85%
"Chennai Dr. Ambedkar Government Law College, Pudupakkam, Thiruporur Taluk, Chengalpattu District",Chengalpattu,631203,glcpkm.ac.in,,BA LLB,70% - 85%
"Chennai Dr. Ambedkar Government Law College, Pudupakkam, Thiruporur Taluk, Chengalpattu District",Chengalpattu,631203,glcpkm.ac.in,,LLB,70% - 85%
"Government Law College, Madurai",Madurai,625020,glcmadurai.ac.in,https://i0.wp.com/lawbhoomi.com/law-college-search/wp-content/uploads/2022/10/Government-Law-College-Madurai.jpg?fit=250%2C250&ssl=1,BA LLB,65% - 80%
"Government Law College, Madurai",Madurai,625020,glcmadurai.ac.in,,LLB,65% - 80%
"Government Law College, Trichirappalli",Trichirappalli,620023,glctry.ac.in,https://i0.wp.com/lawbhoomi.com/law-college-search/wp-content/uploads/2022/10/GOVT.-LAW-COLLEGE-TRICHY.jpg?fit=250%2C250&ssl=1,BA LLB,60% - 75%
"Government Law College, Trichirappalli",Trichirappalli,620023,glctry.ac.in,,LLB,60% - 75%
"Government Law College, Coimbatore",Coimbatore,641046,glccbe.ac.in,https://i0.wp.com/lawbhoomi.com/law-college-search/wp-content/uploads/2022/10/GOVT.-LAW-COLLEGE-COIMBATORE.jpg?fit=250%2C250&ssl=1,BA LLB,60% - 75%
"Government Law College, Coimbatore",Coimbatore,641046,glccbe.ac.in,,LLB,60% - 75%
"Government Law College, Tirunelveli",Tirunelveli,627011,glctvl.ac.in,https://i0.wp.com/lawbhoomi.com/law-college-search/wp-content/uploads/2022/10/GOVT.-LAW-COLLEGE-THIRUNELVELI.jpg?fit=250%2C250&ssl=1,BA LLB,65% - 80%
"Government Law College, Tirunelveli",Tirunelveli,627011,glctvl.ac.in,,LLB,65% - 80%
"Government Law College, Chengalpattu",Chengalpattu,603001,glccgl.ac.in,https://dial4college.blr1.cdn.digitaloceanspaces.com/pro/771/logo/1697788684.jpg,BA LLB,60% - 75%
"Government Law College, Chengalpattu",Chengalpattu,603001,glccgl.ac.in,,LLB,60% - 75%
"Government Law College, Vellore",Vellore,632006,glcvellore.ac.in,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_DFtNvHT12dmSjlUZ_Rd0r4oUjeKjiS76BA&s,BA LLB,55% - 70%
"Government Law College, Vellore",Vellore,632006,glcvellore.ac.in,,LLB,55% - 70%
"Government Law College, Villupuram",Villupuram,605603,glcvpm.ac.in,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTs5ktLuvWSeSIQC1u9tBPojdBkeouv7mX5Ew&s,BA LLB,55% - 70%
"Government Law College, Villupuram",Villupuram,605603,glcvpm.ac.in,,LLB,55% - 70%
