NIRF Ranking,Institution,Location,Pincode,Link,Image URL,Course,CAT Score Range,MAT Score Range,XAT Score Range,CMAT Score Range
16,IIT Madras MBA: Department of Management Studies,Chennai,600036,Department of Management Studies | IIT Madras,https://images.shiksha.com/mediadata/images/1563530538phphP5v3h.jpg,MBA,90+,90+,90+,90+
,IIT Madras MBA: Department of Management Studies,,,,,Executive MBA,90+,90+,90+,90+
,IIT Madras MBA: Department of Management Studies,,,,,Dual Degree (MBA + M.Tech),90+,90+,90+,90+
27,IIM Trichy,Tiruchirappalli,620015,| IIM Tiruchirappalli,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB0gdpRXmdBz3fbrLQMwmVFBlHDdFMiW4nfw&s,MBA,90+,90+,90+,90+
,IIM Trichy,,,,,Executive MBA,90+,90+,90+,90+
,IIM Trichy,,,,,PhD in Management,90+,90+,90+,90+
,IIT Madras,Chennai,600036,IIT Madras,https://images.shiksha.com/mediadata/images/1563530538phphP5v3h.jpg,MBA,90+,90+,90+,90+
,IIT Madras,,,,,Executive MBA,90+,90+,90+,90+
,IIT Madras,,,,,Dual Degree (MBA + M.Tech),90+,90+,90+,90+
34,Great Lakes Institute of Management,Chennai,600100,Great Lakes Institute of Management,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQb6rbAiExMrSe1LTGF0rO8bTRUIKbT6F4W_A&shttps://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQb6rbAiExMrSe1LTGF0rO8bTRUIKbT6F4W_A&ss,PGPM,85+,85+,85+,85+
,Great Lakes Institute of Management,,,,,PGDM,85+,85+,85+,85+
,Great Lakes Institute of Management,,,,,Executive PGPM,85+,85+,85+,85+
,Great Lakes Institute of Management,,,,,MBA (One-Year),85+,85+,85+,85+
28,Amrita Vishwa Vidyapeetham,Coimbatore,641112,Amrita Vishwa Vidyapeetham,https://yt3.googleusercontent.com/ytc/AIdro_lbXafNJexjMEN4q92j3QolrTzkRQOwm_wD7gwGQKGXO9Q=s160-c-k-c0x00ffffff-no-rj,MBA,80+,80-90,80+,80+
,Amrita Vishwa Vidyapeetham,,,,,Executive MBA,80+,80-90,80+,80+
,Amrita Vishwa Vidyapeetham,,,,,Dual Degree (MBA + MS),80+,80-90,80+,80+
51,NIT Trichy (NITT),Tiruchirappalli,620015,NIT Trichy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhzkR-hwQgh2EF-OFAUX8j6dP_7OuoIU2peA&s,MBA,85+,85+,85+,85+
,NIT Trichy (NITT),,,,,Executive MBA,85+,85+,85+,85+
,PSG Institute of Management (PSGIM),Coimbatore,641004,PSG Institute of Management,https://www.static-contents.youth4work.com/university/Documents/Colleges/collegeLogo/20230327144752.png?v=20230327144752,MBA,80+,80-90,80+,80+
,PSG Institute of Management (PSGIM),,,,,Executive MBA,80+,80-90,80+,80+
69,Anna University,Chennai,600025,Anna University,https://w1.pngwing.com/pngs/598/122/png-transparent-student-anna-university-college-institute-institute-of-technology-education-campus-chennai.png,MBA,70-80,70-80,70-80,70-80
,Anna University,,,,,Executive MBA,70-80,70-80,70-80,70-80
,Anna University,,,,,Dual Degree (MBA + M.Tech),70-80,70-80,70-80,70-80
,SRM University (SRMIST) Chennai,Chennai,603203,SRM University,https://w1.pngwing.com/pngs/598/122/png-transparent-student-anna-university-college-institute-institute-of-technology-education-campus-chennai.png,MBA,80+,80-90,80+,80+
,SRM University (SRMIST) Chennai,,,,,Executive MBA,80+,80-90,80+,80+
,SRM University (SRMIST) Chennai,,,,,Integrated MBA,80+,80-90,80+,80+
,PRIST University,Thanjavur,613403,Ponnaiyah Ramajayam Institute of Science and Technology(PRIST),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPvCK3Tkrocn1NcoU_FWmislxXxP7qtHA6iA&s,MBA,70-80,70-80,70-80,70-80
,PRIST University,,,,,Executive MBA,70-80,70-80,70-80,70-80
,VIT Vellore,Vellore,632014,VIT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8fctn2jq8guRd3Sfgxmv9p-ftsSu0YXulGQ&s,MBA,70-80,70-80,70-80,70-80
,VIT Vellore,,,,,Executive MBA,70-80,70-80,70-80,70-80
,VIT Vellore,,,,,Integrated MBA,70-80,70-80,70-80,70-80
66,LIBA Chennai,Chennai,600034,LIBA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvLdt0xfUThn9Xdtm8Ud9Kb3nAKXxlT3C21Q&s,MBA,85+,85+,85+,85+
,LIBA Chennai,,,,,Executive MBA,85+,85+,85+,85+
94,Bharathidasan Institute of Management,Tiruchirappalli,620024,Bharathidasan Institute of Management,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuCs-6t6c0FwybzeGpJg1LNUE_DkSoUmHbYQ&s,MBA,70-80,70-80,70-80,70-80
,Bharathidasan Institute of Management,,,,,Executive MBA,70-80,70-80,70-80,70-80
80,P.S.G College of Technology,Coimbatore,641004,PSG College of Technology,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTruFUi7adNPXPpIGwFR59usl6kgLPan1VxlA&s,MBA,70-80,70-80,70-80,70-80
,P.S.G College of Technology,,,,,Executive MBA,70-80,70-80,70-80,70-80
