College Name,Location,Pincode,Link,Image URL,Courses,NEET Mark
Madras Medical College,Chennai,600003,mmcrgggh.tn.gov.in,https://upload.wikimedia.org/wikipedia/commons/7/7d/Madras_Medical_College_Logo.png,MBBS,550-600
Madras Medical College,Chennai,600003,mmcrgggh.tn.gov.in,,MD,500-550
Madras Medical College,Chennai,600003,mmcrgggh.tn.gov.in,,MS,500-550
Madras Medical College,Chennai,600003,mmcrgggh.tn.gov.in,,MDS,450-500
Madras Medical College,Chennai,600003,mmcrgggh.tn.gov.in,,B.Sc Nursing,400-450
Madras Medical College,Chennai,600003,mmcrgggh.tn.gov.in,,BPT,350-400
Madras Medical College,Chennai,600003,mmcrgggh.tn.gov.in,,BMLT,350-400
Christian Medical College,Vellore,632004,cmch-vellore.edu,https://upload.wikimedia.org/wikipedia/en/6/69/Christian_Medical_College_%26_Hospital%2C_Vellore_Logo.png,MBBS,550-600
Christian Medical College,Vellore,632004,cmch-vellore.edu,,MD,500-550
Christian Medical College,Vellore,632004,cmch-vellore.edu,,MS,500-550
Christian Medical College,Vellore,632004,cmch-vellore.edu,,MDS,450-500
Christian Medical College,Vellore,632004,cmch-vellore.edu,,B.Sc Nursing,400-450
Christian Medical College,Vellore,632004,cmch-vellore.edu,,BPT,350-400
Christian Medical College,Vellore,632004,cmch-vellore.edu,,BMLT,350-400
Stanley Medical College,Chennai,600001,Stanley Medical College,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Stanley_Medical_College_logo.png/220px-Stanley_Medical_College_logo.png,MBBS,550-600
Stanley Medical College,Chennai,600001,Stanley Medical College,,MD,500-550
Stanley Medical College,Chennai,600001,Stanley Medical College,,MS,500-550
Stanley Medical College,Chennai,600001,Stanley Medical College,,B.Sc Nursing,400-450
Stanley Medical College,Chennai,600001,Stanley Medical College,,BPT,350-400
Stanley Medical College,Chennai,600001,Stanley Medical College,,BMLT,350-400
Government Kilpauk Medical College,Chennai,600010,Government Kilpauk Medical College.,https://media.licdn.com/dms/image/v2/D4D0BAQEtrgD4VUWRlA/company-logo_200_200/company-logo_200_200/0/1710825223063?e=2147483647&v=beta&t=UHmtJxmulpS_zCZaniT_LfQZTpHFdPDYmDXqwj5ppR0,MBBS,550-600
Government Kilpauk Medical College,Chennai,600010,Government Kilpauk Medical College.,,MD,500-550
Government Kilpauk Medical College,Chennai,600010,Government Kilpauk Medical College.,,MS,500-550
Government Kilpauk Medical College,Chennai,600010,Government Kilpauk Medical College.,,B.Sc Nursing,400-450
Government Kilpauk Medical College,Chennai,600010,Government Kilpauk Medical College.,,BPT,350-400
Government Kilpauk Medical College,Chennai,600010,Government Kilpauk Medical College.,,BMLT,350-400
Coimbatore Medical College,Coimbatore,641014,cmc.ac.in,https://getmyuniversity.com/images/university_images/logo-coimbatore-medical-college-coimbatore.jpg,MBBS,550-600
Coimbatore Medical College,Coimbatore,641014,cmc.ac.in,,MD,500-550
Coimbatore Medical College,Coimbatore,641014,cmc.ac.in,,MS,500-550
Coimbatore Medical College,Coimbatore,641014,cmc.ac.in,,B.Sc Nursing,400-450
Coimbatore Medical College,Coimbatore,641014,cmc.ac.in,,BPT,350-400
Coimbatore Medical College,Coimbatore,641014,cmc.ac.in,,BMLT,350-400
Madurai Medical College,Madurai,625020,http://www.mdmc.tn.gov.in/,https://static.wixstatic.com/media/dd61a7_6be63a0925e34b20a12636974a693a94~mv2.gif,MBBS,550-600
Madurai Medical College,Madurai,625020,http://www.mdmc.tn.gov.in/,,MD,500-550
Madurai Medical College,Madurai,625020,http://www.mdmc.tn.gov.in/,,MS,500-550
Madurai Medical College,Madurai,625020,http://www.mdmc.tn.gov.in/,,B.Sc Nursing,400-450
Madurai Medical College,Madurai,625020,http://www.mdmc.tn.gov.in/,,BPT,350-400
Madurai Medical College,Madurai,625020,http://www.mdmc.tn.gov.in/,,BMLT,350-400
"Government Medical College, Omandurar",Omandurar,600106,GMC Virudhunagar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRv3RbU27BKFtf9siTssWTDFzKDlE2SRcwRJA&s,MBBS,550-600
"Government Medical College, Omandurar",Omandurar,600106,GMC Virudhunagar,,MD,500-550
"Government Medical College, Omandurar",Omandurar,600106,GMC Virudhunagar,,MS,500-550
"Government Medical College, Omandurar",Omandurar,600106,GMC Virudhunagar,,B.Sc Nursing,400-450
"Government Medical College, Omandurar",Omandurar,600106,GMC Virudhunagar,,BPT,350-400
"Government Medical College, Omandurar",Omandurar,600106,GMC Virudhunagar,,BMLT,350-400
Chengalpattu Medical College,Chengalpattu,603001,cmccpt.ac.in,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/ChMC_Logo1.jpg/640px-ChMC_Logo1.jpg,MBBS,550-600
Chengalpattu Medical College,Chengalpattu,603001,cmccpt.ac.in,,MD,500-550
Chengalpattu Medical College,Chengalpattu,603001,cmccpt.ac.in,,MS,500-550
Chengalpattu Medical College,Chengalpattu,603001,cmccpt.ac.in,,B.Sc Nursing,400-450
Chengalpattu Medical College,Chengalpattu,603001,cmccpt.ac.in,,BPT,350-400
Chengalpattu Medical College,Chengalpattu,603001,cmccpt.ac.in,,BMLT,350-400
Thanjavur Medical College,Thanjavur,613004,https://thanjavur.nic.in/public-utility/thanjavur-medical-college/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6bamaxWXpGh6hpUaDkgxCaAMeQc9vNkHBOg&s,MBBS,550-600
Thanjavur Medical College,Thanjavur,613004,https://thanjavur.nic.in/public-utility/thanjavur-medical-college/,,MD,500-550
Thanjavur Medical College,Thanjavur,613004,https://thanjavur.nic.in/public-utility/thanjavur-medical-college/,,MS,500-550
Thanjavur Medical College,Thanjavur,613004,https://thanjavur.nic.in/public-utility/thanjavur-medical-college/,,B.Sc Nursing,400-450
Thanjavur Medical College,Thanjavur,613004,https://thanjavur.nic.in/public-utility/thanjavur-medical-college/,,BPT,350-400
